band_1_b,band_2_g,band_3_r,band_4_rd,band_5_nir,band_6_lwir,SAVI,NDVI,VARI,ExG,NDRE,Date,class,lon,lat,Source_File,pad,ID,grid_id,gx,gy,folder,B,G,R,RE,NIR
952,2548,1256,6247,13214,31131,0.5813508777127858,0.8263994452605765,0.4530154225650739,0.6072329646976851,0.35799804677401575,Sep,legume,-85.18675503,30.87445013,pad3_Legume_gps.csv,pad3,409,gx_18_gy_5,18,5,training,0.029052734375,0.0777587890625,0.038330078125,0.190643310546875,0.40325927734375
1058,2840,1237,6692,14848,31098,0.6287997776154328,0.8461921027212916,0.530970514276634,0.659201553729169,0.3786443819680864,Sep,legume,-85.18722222,30.87429717,pad3_Legume_gps.csv,pad3,410,gx_13_gy_5,13,5,testing,0.03228759765625,0.086669921875,0.037750244140625,0.2042236328125,0.453125
979,2330,1367,6054,12946,30988,0.5658044754034505,0.8089848371055114,0.35430463149011987,0.49486740457317896,0.3627368414796758,Sep,legume,-85.18752934,30.87431855,pad3_Legume_gps.csv,pad3,411,gx_10_gy_5,10,5,training,0.029876708984375,0.07110595703125,0.041717529296875,0.18475341796875,0.39508056640625
780,2240,768,5796,15961,30848,0.6882342275676604,0.9081833923271354,0.6606822164949574,0.774023224560931,0.4672059559999355,Sep,legume,-85.18697104,30.87451048,pad3_Legume_gps.csv,pad3,412,gx_16_gy_6,16,6,training,0.0238037109375,0.068359375,0.0234375,0.1768798828125,0.487091064453125
776,2008,1120,5452,14505,30933,0.6272454615716336,0.8566399982034957,0.3775510151481328,0.5430327823273313,0.4536252936381023,Sep,legume,-85.18752019,30.874573,pad3_Legume_gps.csv,pad3,413,gx_10_gy_6,10,6,training,0.023681640625,0.061279296875,0.0341796875,0.1663818359375,0.442657470703125
1250,3013,1852,6819,12921,30981,0.5328979036023367,0.7492723194644177,0.3211618228149846,0.47816843570423173,0.30911854052030413,Sep,legume,-85.18783635,30.87449902,pad3_Legume_gps.csv,pad3,414,gx_7_gy_6,7,6,training,0.03814697265625,0.091949462890625,0.0565185546875,0.208099365234375,0.394317626953125
984,3060,1076,7864,22460,30968,0.803507013368504,0.9085656003665926,0.6294416178218455,0.792968744925,0.48133491571783465,Sep,legume,-85.18794334,30.87454759,pad3_Legume_gps.csv,pad3,415,gx_6_gy_6,6,6,testing,0.030029296875,0.0933837890625,0.0328369140625,0.239990234375,0.6854248046875
895,2388,1113,5873,13364,30656,0.5954602890537558,0.8462388597271842,0.489255557930957,0.6296633256067317,0.389405831846959,Sep,legume,-85.18807357,30.87451509,pad3_Legume_gps.csv,pad3,416,gx_5_gy_6,5,6,training,0.027313232421875,0.0728759765625,0.033966064453125,0.179229736328125,0.4078369140625
1148,2762,1963,6346,13083,30813,0.5307031493035291,0.7390668600147718,0.22337153835073006,0.4108632703110561,0.3467497034658349,Sep,legume,-85.18810602,30.87431903,pad3_Legume_gps.csv,pad3,417,gx_5_gy_5,5,5,testing,0.0350341796875,0.08428955078125,0.059906005859375,0.19366455078125,0.399261474609375
1228,3284,1614,7493,15706,30931,0.627165914415174,0.8136258645114959,0.4550408678717223,0.6082272249542295,0.3540238798396201,Sep,legume,-85.18827128,30.87432659,pad3_Legume_gps.csv,pad3,418,gx_3_gy_5,3,5,training,0.0374755859375,0.1002197265625,0.04925537109375,0.228668212890625,0.47930908203125
960,2506,1147,7064,20511,30867,0.7635245248667479,0.8940807078540384,0.5046416574318241,0.6297420289106033,0.48765185798805527,Sep,legume,-85.18814841,30.87457333,pad3_Legume_gps.csv,pad3,419,gx_4_gy_6,4,6,training,0.029296875,0.07647705078125,0.035003662109375,0.215576171875,0.625946044921875
977,2185,1596,4422,9366,31049,0.42620492891224004,0.7088122584175917,0.21005705888618056,0.377679694750776,0.35857267103642954,Sep,grass,-85.18741891,30.87500284,pad4_grass_gps.csv,pad4,420,gx_11_gy_8,11,8,training,0.029815673828125,0.066680908203125,0.0487060546875,0.13494873046875,0.28582763671875
1147,2581,1840,5402,12942,30868,0.5343322846207726,0.751048570923396,0.22632864770423422,0.39062499770114945,0.4110335797280447,Sep,grass,-85.18821353,30.87469437,pad4_grass_gps.csv,pad4,421,gx_4_gy_7,4,7,training,0.035003662109375,0.078765869140625,0.05615234375,0.16485595703125,0.39495849609375
1600,3199,3018,6916,14749,31242,0.5152557753247664,0.6602690368866047,0.0392029453574611,0.22770883875379772,0.3615508879830464,Sep,grass,-85.18728587,30.87492878,pad4_grass_gps.csv,pad4,422,gx_13_gy_8,13,8,training,0.048828125,0.097625732421875,0.09210205078125,0.2110595703125,0.450103759765625
945,2705,1421,5457,13156,30832,0.5685378373234118,0.8050353278192085,0.40364664783819765,0.6002760757898155,0.41363563028238265,Sep,grass,-85.18779296,30.87467114,pad4_grass_gps.csv,pad4,423,gx_8_gy_6,8,6,training,0.028839111328125,0.082550048828125,0.043365478515625,0.166534423828125,0.4014892578125
1465,3102,1937,6520,14510,31000,0.5744418379329502,0.7644555222806787,0.3259653019918212,0.43081180594759505,0.3799334278435731,Sep,grass,-85.18822089,30.8748456,pad4_grass_gps.csv,pad4,424,gx_4_gy_7,4,7,training,0.044708251953125,0.09466552734375,0.059112548828125,0.198974609375,0.44281005859375
